Tiempo_InelasticoPeso,Posicion_1_InelasticoPeso,Velocidad_1_InelasticoPeso,Aceleracion_1_InelasticoPeso,Posicion_2_InelasticoPeso,Velocidad_2_InelasticoPeso,Aceleracion_2_InelasticoPeso
4.53,0.5270,0.148,-0.265,-0.313,0.15,0.0
4.55,0.5290,0.144,-0.421,-0.311,0.15,-0.0
4.56,0.5310,0.129,-0.122,-0.309,0.15,-0.0
4.57,0.5320,0.142,0.135,-0.307,0.15,-0.004
4.59,0.5350,0.142,-0.135,-0.305,0.15,-0.026
4.60,0.5360,0.129,0.122,-0.303,0.15,-0.122
4.61,0.5380,0.144,0.421,-0.301,0.148,-0.265
4.63,0.5400,0.148,0.265,-0.299,0.144,-0.421
4.64,0.5420,0.150,0.122,-0.297,0.129,-0.122
4.65,0.5440,0.150,0.022,-0.296,0.142,0.135
4.67,0.5460,0.150,-0.022,-0.293,0.142,-0.135
4.68,0.5480,0.150,-0.122,-0.292,0.129,0.122
4.69,0.5500,0.148,-0.260,-0.29,0.144,0.421
4.71,0.5520,0.144,-0.395,-0.288,0.148,0.26
4.72,0.5540,0.129,-0.004,-0.286,0.15,0.091
4.73,0.5550,0.144,0.369,-0.284,0.15,-0.122
4.75,0.5580,0.148,0.139,-0.282,0.148,-0.378
4.76,0.5590,0.148,-0.139,-0.28,0.142,-0.655
4.77,0.5620,0.144,-0.369,-0.278,0.123,-0.395
4.79,0.5630,0.129,0.004,-0.277,0.123,0.395
4.80,0.5650,0.144,0.391,-0.275,0.142,0.655
4.81,0.5670,0.148,0.230,-0.273,0.148,0.382
4.83,0.5690,0.150,-0.026,-0.271,0.15,0.143
4.84,0.5710,0.148,-0.356,-0.269,0.15,0.004
4.85,0.5730,0.142,-0.655,-0.267,0.15,-0.117
4.87,0.5750,0.123,-0.421,-0.265,0.148,-0.265
4.88,0.5760,0.123,0.273,-0.263,0.144,-0.421
4.89,0.5780,0.140,0.395,-0.261,0.129,-0.122
4.91,0.5800,0.142,-0.013,-0.26,0.142,0.135
4.92,0.5820,0.129,0.143,-0.257,0.142,-0.139
4.93,0.5830,0.144,0.399,-0.256,0.129,0.09
4.95,0.5860,0.148,0.141,-0.254,0.144,0.264
4.96,0.5870,0.148,-0.158,-0.252,0.146,-0.201
4.97,0.5900,0.144,-0.452,-0.25,0.141,-0.871
4.99,0.5910,0.128,-0.237,-0.248,0.12,-1.418
5.00,0.5930,0.138,0.230,-0.247,0.096,-1.675
